"date","BTC","ETH","LTC","XMR","XRP"
"2015-09-01","227.955570426651","1.36","2.82417780442012","0.453372101031673","0.00782382154241627"
"2015-09-02","229.502180709527","1.30828087083577","2.81525058008036","0.451683574505155","0.0076728411129732"
"2015-09-03","227.107121566335","1.23357","2.63804269261599","0.447897439727613","0.00754664684427238"
"2015-09-04","231.177563413209","1.23357","2.72025348651614","0.467124574106328","0.00763880022786266"
"2015-09-05","235.903006136762","1.36287107188779","2.9380195395432","0.483827855580181","0.00751583144644903"
"2015-09-06","240.805472238457","1.34","3.07851788539359","0.503365553825872","0.00781244637920514"
"2015-09-07","240.6336157218","1.27561","3.05908613207817","0.499636618577814","0.00769836723752192"
"2015-09-08","244.174952659264","1.26349378725891","3.0559067109979","0.5154251528969","0.00776907454470861"
"2015-09-09","238.722463179427","1.21","2.93990636601957","0.513830683156109","0.00753408093794273"
"2015-09-10","238.750477206312","1.1857","2.94506353398087","0.499113987458599","0.00756714273989188"
"2015-09-11","240.845008116891","0.927715708357686","2.95550979737593","0.495969175462005","0.00760463819866226"
"2015-09-12","236.351832176505","1.14639","2.86499541609452","0.466646582707575","0.00749471659831697"
"2015-09-13","230.548837317358","0.88557","2.80278632499216","0.462805554685253","0.00758555287913735"
"2015-09-14","230.948793980129","0.955","2.84359362782222","0.48060380506223","0.00731065019375231"
"2015-09-15","230.398590005845","0.95","2.82173054026233","0.503084355299389","0.0074500574448662"
"2015-09-16","229.043285797779","0.93634","2.79715544403946","0.490995952921736","0.00720335712295105"
"2015-09-17","233.202697837522","0.875","2.92785076391313","0.493313371477753","0.00729458038835768"
"2015-09-18","233.175130917592","0.85226","2.96914305846568","0.496568557357362","0.00730715612371669"
"2015-09-19","232.241568088837","0.883689479836353","2.88710196437764","0.494508486629367","0.00731096456343659"
"2015-09-20","231.362323787259","0.94116","2.8519839609093","0.484595708417473","0.007120858783882"
"2015-09-21","226.773447983635","0.94116","2.79626159423753","0.479879440409198","0.00714563134596435"
"2015-09-22","230.626304792519","0.80588","2.83608195929707","0.465905855983229","0.00711017945766467"
"2015-09-23","230.132437755698","0.91","2.8417404647177","0.459883235901076","0.00646500499002301"
"2015-09-24","234.319868497954","0.8","2.92231485650407","0.464048337639077","0.00654232672432999"
"2015-09-25","235.538221800117","0.68233","2.90363651963779","0.453018302870106","0.00667279782359731"
"2015-09-26","234.591814436002","0.77032","2.87661764536397","0.452432088400872","0.00642760374655458"
"2015-09-27","233.243309760374","0.700769905318527","2.84930248804865","0.440359117419578","0.00642871930931485"
"2015-09-28","240.017265341905","0.604208065458796","3.05858199423149","0.44762118263531","0.0059915481891512"
"2015-09-29","237.336233781414","0.68163","3.00112968235805","0.432797349492272","0.00515135035690536"
"2015-09-30","236.739848042081","0.713644313851549","3.01446886900104","0.398769872450193","0.005602168871401"
"2015-10-01","238.229813851549","0.654722555230859","2.99924387056037","0.405526454114547","0.00541910045785759"
"2015-10-02","237.937007305669","0.66467","2.98805911796629","0.410837874017988","0.00585693736035926"
"2015-10-03","239.735897720631","0.6796","3.04722226750334","0.407286930341923","0.00538242511326677"
"2015-10-04","239.516924897721","0.60954","3.02007485098262","0.401515199915678","0.00506371025127206"
"2015-10-05","240.961213833431","0.60777","3.01241196717089","0.419375660651028","0.00490126516218508"
"2015-10-06","246.940498246639","0.65114","3.14008404732695","0.411977595295683","0.00538030912317058"
"2015-10-07","243.734486849795","0.6","3.06261866791244","0.39427700319304","0.0051304555336206"
"2015-10-08","243.029632963179","0.633798841028638","3.06321942601056","0.389906180356601","0.00479561568275486"
"2015-10-09","244.448887492694","0.635190847457627","3.09738565567122","0.391548556039109","0.00506498552065716"
"2015-10-10","245.955924313267","0.635190847457627","3.11157939083657","0.389315207275377","0.00504834827139352"
"2015-10-11","248.528165400351","0.59931","3.16296305971147","0.383229852358731","0.00518635809165071"
"2015-10-12","246.093637346581","0.63","3.14538084149139","0.397272761066304","0.00529042076596012"
"2015-10-13","250.471300701344","0.601639343658679","3.18337096321914","0.385627599738813","0.00529981462289611"
"2015-10-14","253.142325540619","0.483236302162478","3.15001821320055","0.398953693857983","0.00529662544577317"
"2015-10-15","254.693015002922","0.559861985973115","3.0918705242318","0.393585216095945","0.00537308958569197"
"2015-10-16","262.737363237873","0.525","3.11487920156586","0.409398556840829","0.00529557213640586"
"2015-10-17","271.930938924605","0.52299","3.06717940728183","0.424392967360833","0.00514526966244697"
"2015-10-18","263.481677381648","0.505","3.01424792088902","0.413685127481546","0.0050006878977926"
"2015-10-19","264.362728229106","0.499479725306838","3.0448400894802","0.392525754076085","0.00500057860233945"
"2015-10-20","270.832211864407","0.440034716540035","3.08416145473428","0.400348336991672","0.00470477039514453"
"2015-10-21","268.040217708942","0.42","3.05779974097823","0.396577797485843","0.004662240319973"
"2015-10-22","275.414956458212","0.546183513734658","3.12823077650504","0.401263670128429","0.00476475762067719"
"2015-10-23","278.612778026885","0.56491","3.12532226078905","0.397320617814427","0.00460110293029346"
"2015-10-24","283.61114289889","0.55606","3.11266992889522","0.398068240688861","0.00467901845887877"
"2015-10-25","286.04969345412","0.624364857977791","3.08927898651105","0.410470048676299","0.00451182620492507"
"2015-10-26","286.703382817066","0.700519544126242","3.1180850831545","0.3865828808893","0.00457021864908586"
"2015-10-27","295.562913793104","0.83","3.1069088006047","0.407141717632609","0.00462077341637787"
"2015-10-28","304.442097019287","0.99","3.09770389221641","0.434825330194678","0.00469192957352426"
"2015-10-29","314.879462302747","1.17940672121566","3.85733726343912","0.442484370381989","0.00456184942796198"
